name,followers,popularity,spotify_url
Khánh Ly,43350,34,https://open.spotify.com/artist/2BT5812uC3XW9TukhlOfD0
Wanganh,716,7,https://open.spotify.com/artist/0B1ugimugDw0LapWm8KBrM
JSOL,210990,57,https://open.spotify.com/artist/6EybZ5zwPNEtEngfrEMevN
Văn Ngà,0,0,https://open.spotify.com/artist/5kP0tFzJLoASuuQgXOfkDK
Xoxad,9471,29,https://open.spotify.com/artist/7CirIWsF6Zm9SLjGdg1n0S
Nguyen Huong Ly,111531,28,https://open.spotify.com/artist/5akggz3MdneiFGBlJrZM6O
Nam Hùng,32,1,https://open.spotify.com/artist/4F61v4UsI7gdmehXRzHXkZ
Hast,3859,37,https://open.spotify.com/artist/0LIZC1GStlO5tEEYC0cB1e
Karik,471888,52,https://open.spotify.com/artist/2Bwp23pD4UVsSkchHDZw4F
Pate,17,0,https://open.spotify.com/artist/7gQuk1ea3Mbh08mRxtRIkb
Văn Chung,13,0,https://open.spotify.com/artist/1r5lpxoQjOFBowGGY1bcIk
Loan Thảo,2,0,https://open.spotify.com/artist/5QRsXtlxIP4CmuErlUjFVv
Hiền Hồ,231502,41,https://open.spotify.com/artist/6ZmHJcmCcc9X2sAyz6cHng
Rain Radio,4386,0,https://open.spotify.com/artist/0CsAMUgflvraCehhPxqBYj
Hoà Minzy,421826,47,https://open.spotify.com/artist/3BWBxpXDxofgji3RKZPIz8
Ngọc Hương,785,15,https://open.spotify.com/artist/2RgxKAriITgladr0PlL92B
Tiên Cookie,251470,34,https://open.spotify.com/artist/0UzTVrRT0KTsJDxmlcGfQG
Lê Bá Sơn,108,7,https://open.spotify.com/artist/4yRXDHoMhgh2D6MxAowU0c
Giao Linh,42322,25,https://open.spotify.com/artist/4H5Eeyp0AbxXuJKbeuc1wx
Johnny Dũng,933,15,https://open.spotify.com/artist/4hq9J2kNGKND6jWpTHm7k7
